2026-03-14T05:35:56.115 | INFO     | bot_service | [BOT] BOT IS NOW LISTENING FOR MESSAGES IN ALL CHANNELS!
2026-03-14T05:35:56.115 | INFO     | bot_service | [BOT] BOT IS NOW LISTENING FOR MESSAGES IN THESE CHANNELS
2026-03-14T05:35:56.115 | INFO     | bot_service | [OK] MONITORING CHAT: yourchy
2026-03-14T05:35:56.115 | INFO     | bot_service | ================================================================================
2026-03-14T05:35:56.115 | INFO     | bot_service | [BOT] All modules loaded and ready!
2026-03-14T05:35:59.215 | INFO     | startup.bot_initializer | [OK] [TWITCH] Bot connected as: pa1dviewer
2026-03-14T05:35:59.216 | INFO     | startup.bot_initializer | [OK] Twitch bot started
2026-03-14T05:36:00.358 | INFO     | services.bot_token_validator | [OK] [BOT TOKEN] VK bot token is VALID
2026-03-14T05:36:00.358 | INFO     | startup.bot_initializer | ================================================================================
2026-03-14T05:36:00.359 | INFO     | startup.bot_initializer | [VK] Creating VK bot instance...
2026-03-14T05:36:00.359 | INFO     | startup.bot_initializer | [VK] Token validated: OK
2026-03-14T05:36:00.359 | INFO     | startup.bot_initializer | [VK] Bot user: Денис Р#1209004
2026-03-14T05:36:00.359 | INFO     | startup.bot_initializer | [VK] Channels to connect: []
2026-03-14T05:36:00.359 | INFO     | startup.bot_initializer | ================================================================================
2026-03-14T05:36:00.360 | INFO     | bot_service | [VK BOT] VK Live bot initialized
2026-03-14T05:36:00.360 | INFO     | bot_service | [START] VK LIVE BOT STARTED - Ready to listen to chat
2026-03-14T05:36:00.360 | INFO     | bot_service | VK LIVE BOT: Started and ready to connect to channels
2026-03-14T05:36:00.360 | INFO     | bot_service | [VK BOT] All modules loaded and ready!
2026-03-14T05:36:00.361 | INFO     | startup.bot_initializer | [OK] VK bot started
2026-03-14T05:36:00.362 | INFO     | startup.lifespan | === BOT SERVICE STARTED ===
2026-03-14T05:36:00.362 | INFO     | uvicorn.error | Application startup complete.
